#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	5346141	25916996	10.4103	2.6475	34.7	57.3
chr2	1	242193529	2201284	21680692	8.9518	1.11995	34.8	57.9
chr3	1	198295559	1986970	18484374	9.32163	1.23749	35	58.5
chr4	1	190214555	1221841	13008485	6.83885	0.792426	35.2	58.9
chr5	1	181538259	1882473	14111817	7.77347	1.27955	34.9	57.7
chr6	1	170805979	1961556	15179021	8.8867	1.41629	34.9	57.9
chr7	1	159345973	1206445	14140664	8.87419	0.930793	34.8	57.1
chr8	1	145138636	1125639	10638559	7.32993	0.957216	34.9	58.8
chr9	1	138394717	1852144	12172038	8.79516	1.65348	35	56.2
chr10	1	133797422	1151338	13007839	9.72204	1.06136	34.9	58.4
chr11	1	135086622	2297051	12413706	9.18944	2.09863	34.8	58.5
chr12	1	133275309	3499352	13572662	10.1839	3.23495	34.8	56.2
chr13	1	114364328	727538	5824203	5.09267	0.786433	35.2	58.3
chr14	1	107043718	988016	8726209	8.152	1.13863	34.9	58.9
chr15	1	101991189	1164294	9955849	9.76148	1.40734	34.8	58
chr16	1	90338345	1026243	9467192	10.4797	1.39822	34.4	57
chr17	1	83257441	2872899	12369168	14.8565	4.25323	34.3	57.8
chr18	1	80373285	608803	5331581	6.63352	0.935717	35.2	58.7
chr19	1	58617616	1451486	10138130	17.2954	3.04301	34	58.8
chr20	1	64444167	767507	6249714	9.69787	1.46765	34.5	58.5
chr21	1	46709983	559214	3248390	6.95438	1.47824	34.7	51.3
chr22	1	50818468	495518	5065926	9.96867	1.19958	34.3	58.6
chrX	1	156040895	788574	8305835	5.32286	0.623205	34.8	56.9
chrY	1	57227415	48410	947398	1.6555	0.104015	34.8	39.2
chrM	1	16569	2510390	16569	100	18736.6	34.7	59.1
GL000008.2	1	209709	104	8080	3.85296	0.0610417	35.2	34.9
GL000009.2	1	201709	231	14007	6.94416	0.140142	35	46.4
GL000194.1	1	191469	1489	30082	15.7112	0.956609	34.9	52.5
GL000195.1	1	182896	1037	27854	15.2294	0.699589	35.3	45.1
GL000205.2	1	185591	536	21632	11.6557	0.353573	34.7	44.4
GL000208.1	1	92689	4	372	0.401342	0.00534044	33.7	15.8
GL000213.1	1	164239	13	759	0.462131	0.00932787	34.3	10.1
GL000214.1	1	137718	62	4643	3.37138	0.0550763	34.3	23.7
GL000216.2	1	176608	100	8961	5.07395	0.0691248	34.7	56.4
