#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4231724	30122064	12.0993	2.09368	34.4	57.3
chr2	1	242193529	1989853	25138740	10.3796	1.01187	34.5	58
chr3	1	198295559	1680063	21478614	10.8316	1.04489	34.7	59
chr4	1	190214555	1101856	14840982	7.80223	0.713747	35	56.1
chr5	1	181538259	1554248	16792270	9.24999	1.05555	34.6	58.2
chr6	1	170805979	1755820	17597676	10.3027	1.26648	34.6	57.8
chr7	1	159345973	1112756	16473099	10.3379	0.85877	34.4	57.1
chr8	1	145138636	1007920	12341032	8.50293	0.856309	34.6	58.9
chr9	1	138394717	1484109	14236442	10.2868	1.32294	34.6	55.6
chr10	1	133797422	1066926	14991093	11.2043	0.982745	34.6	58.5
chr11	1	135086622	2016420	14381739	10.6463	1.84062	34.5	59.2
chr12	1	133275309	2925980	15871537	11.9088	2.69207	34.4	54.2
chr13	1	114364328	639483	6828294	5.97065	0.690843	34.9	58.8
chr14	1	107043718	843699	10157778	9.48937	0.971278	34.5	59
chr15	1	101991189	1054092	11480323	11.2562	1.2725	34.5	57.7
chr16	1	90338345	952344	11050586	12.2324	1.2958	34	57.1
chr17	1	83257441	2353714	14474832	17.3856	3.47874	33.9	56.5
chr18	1	80373285	527226	6240017	7.76379	0.809626	34.9	59
chr19	1	58617616	1387513	11631724	19.8434	2.90449	33.6	58.8
chr20	1	64444167	665155	7350097	11.4054	1.27033	34.2	59.1
chr21	1	46709983	419111	3911301	8.37359	1.1056	34.3	51.1
chr22	1	50818468	495431	5858251	11.5278	1.19802	33.9	58.3
chrX	1	156040895	774962	9758475	6.25379	0.612072	34.5	57.2
chrY	1	57227415	16633	327002	0.571408	0.0354628	33.6	10.4
chrM	1	16569	2107651	16569	100	15707.6	34.4	59.1
GL000008.2	1	209709	118	9691	4.62117	0.0693819	35	49
GL000009.2	1	201709	128	10156	5.03498	0.0780927	35.2	47.5
GL000194.1	1	191469	1204	32516	16.9824	0.77235	34.6	51.3
GL000195.1	1	182896	1188	36846	20.1459	0.800788	35	45.9
GL000205.2	1	185591	534	24385	13.1391	0.353751	35	44.6
GL000213.1	1	164239	6	383	0.233197	0.00429861	28.5	40
GL000214.1	1	137718	42	4237	3.07658	0.036444	33.5	30.5
GL000216.2	1	176608	2	230	0.130232	0.00130232	31.2	30
GL000218.1	1	161147	1020	31421	19.4983	0.777731	34.5	48.1
GL000219.1	1	179198	2263	43270	24.1465	1.55868	35.1	57.9
GL000220.1	1	161802	17654	27847	17.2105	13.4114	33.4	1.58
GL000221.1	1	155397	260	16280	10.4764	0.205203	34.8	41.4
GL000224.1	1	179693	648	19724	10.9765	0.445705	35.4	22
GL000225.1	1	211173	1	121	0.057299	0.00057299	34.6	60
KI270330.1	1	1652	17	505	30.569	1.22337	33.3	53.1
KI270435.1	1	92983	1	123	0.132282	0.00132282	37.1	0
KI270438.1	1	112505	9	1075	0.955513	0.00976845	34.4	27.1
KI270442.1	1	392061	22	1787	0.455796	0.00693515	33.1	46.5
KI270467.1	1	3920	1	124	3.16327	0.0316327	30.6	60
KI270519.1	1	138126	2	248	0.179546	0.00179546	33	30.5
KI270706.1	1	175055	222	19768	11.2925	0.155277	35	50.4
KI270707.1	1	32032	41	3987	12.4469	0.158061	34.4	55.6
KI270708.1	1	127682	3	332	0.260021	0.00260021	32.3	40.3
KI270709.1	1	66860	14	1157	1.73048	0.02586	34.8	38.6
KI270711.1	1	42210	1263	19311	45.7498	3.68891	34.8	34.5
KI270712.1	1	176043	556	17154	9.74421	0.385644	34.2	26.1
KI270713.1	1	40745	76	5039	12.3672	0.230777	34.4	48.4
KI270714.1	1	41717	40	3259	7.81216	0.118177	34.2	54.1
KI270715.1	1	161471	2	250	0.154827	0.00154827	31	60
KI270717.1	1	40062	160	8997	22.4577	0.495557	34.9	10.9
KI270718.1	1	38054	645	22594	59.3735	2.08475	35	14.4
KI270719.1	1	176845	85	4792	2.70972	0.0585937	35.1	12.1
KI270720.1	1	39050	8	622	1.59283	0.0248912	34.5	60
KI270721.1	1	100316	807	6766	6.74469	0.982814	33.1	8.21
KI270722.1	1	194050	4	449	0.231384	0.00243752	31.7	15
KI270723.1	1	38115	2	235	0.616555	0.00648039	30.7	60
KI270725.1	1	172810	88	4251	2.45993	0.0621492	34.8	16.3
KI270726.1	1	43739	6	423	0.9671	0.0162098	33.9	10.3
KI270727.1	1	448248	69	6120	1.36532	0.0189783	35	24
KI270728.1	1	1872759	984	53652	2.86486	0.0647606	34.7	11.6
KI270729.1	1	280839	23	1279	0.455421	0.00995588	35.1	41.8
KI270731.1	1	150754	22	1820	1.20726	0.017963	34.7	19.8
KI270733.1	1	179772	18730	29776	16.5632	12.8139	33.4	2.21
KI270734.1	1	165050	236	7656	4.63859	0.174717	33.7	27.7
KI270735.1	1	42811	8	761	1.77758	0.0231249	30	30.5
KI270738.1	1	99375	16	1248	1.25585	0.0199145	35.3	52.5
KI270739.1	1	73985	6	570	0.770426	0.00986686	34.9	30.3
KI270741.1	1	157432	352	12704	8.06952	0.276989	35.3	4.81
KI270742.1	1	186739	263	19373	10.3744	0.173194	34.9	41.6
KI270743.1	1	210658	33	3154	1.49721	0.019254	34.2	29.5
KI270744.1	1	168472	113	8650	5.13438	0.0822748	34.9	35.9
KI270745.1	1	41891	269	12462	29.7486	0.784297	33.9	23.3
KI270746.1	1	66486	6	624	0.938543	0.0111602	35.7	40.3
KI270747.1	1	198735	12	1381	0.694895	0.00741188	35.3	30.2
KI270748.1	1	93321	68	5610	6.01151	0.0900226	34.9	7.84
KI270749.1	1	158759	14	1313	0.82704	0.0104813	34.4	17.7
KI270751.1	1	150742	24	2340	1.55232	0.0196826	35.1	5.67
KI270753.1	1	62944	2	177	0.281202	0.00281202	34.4	60
KI270755.1	1	36723	4	494	1.34521	0.0134521	34.8	45
GL000208.1	1	92689	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270337.1	1	1121	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270448.1	1	7992	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270466.1	1	1233	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270538.1	1	91309	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270589.1	1	44474	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270710.1	1	40176	0	0	0	0	0	0
KI270716.1	1	153799	0	0	0	0	0	0
KI270724.1	1	39555	0	0	0	0	0	0
KI270730.1	1	112551	0	0	0	0	0	0
KI270732.1	1	41543	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270737.1	1	103838	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270750.1	1	148850	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270754.1	1	40191	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
KI270757.1	1	71251	0	0	0	0	0	0
