#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	4135805	21884205	8.79038	2.05003	34.8	57
chr2	1	242193529	1997352	17778930	7.34079	1.01685	34.9	58.1
chr3	1	198295559	1596309	14971291	7.54999	0.99442	35.1	58.8
chr4	1	190214555	1080993	10593776	5.56938	0.700197	35.3	58.6
chr5	1	181538259	1445072	11806151	6.5034	0.982805	35	57.6
chr6	1	170805979	1629157	12512679	7.32567	1.17752	35	58
chr7	1	159345973	1065419	11914082	7.47686	0.823278	34.8	57.1
chr8	1	145138636	974254	8859818	6.10438	0.828932	35	58.7
chr9	1	138394717	1344303	10038774	7.25373	1.20018	35	56.3
chr10	1	133797422	972086	10643709	7.95509	0.896653	35	58.5
chr11	1	135086622	1764097	10490775	7.76596	1.61244	34.8	59.1
chr12	1	133275309	2516041	11497768	8.62708	2.32167	34.9	53.5
chr13	1	114364328	605408	4761553	4.16349	0.654628	35.3	58.6
chr14	1	107043718	1013761	7366509	6.88178	1.16796	34.7	57.8
chr15	1	101991189	939790	8195251	8.03525	1.13672	35	57.6
chr16	1	90338345	909144	8064909	8.92745	1.24003	34.4	57.2
chr17	1	83257441	2123185	10971103	13.1773	3.14515	34.4	58.5
chr18	1	80373285	463284	4328212	5.38514	0.712278	35.3	58.8
chr19	1	58617616	1394248	9059570	15.4554	2.92667	34	58.7
chr20	1	64444167	662391	5234212	8.12209	1.26789	34.6	58.4
chr21	1	46709983	403970	2764049	5.91747	1.06804	34.7	47.9
chr22	1	50818468	553890	4352128	8.56407	1.34194	34.3	56.7
chrX	1	156040895	728130	6897355	4.42022	0.575807	34.9	57
chrY	1	57227415	37968	746620	1.30465	0.0816238	34.8	36.6
chrM	1	16569	2983322	16569	100	22263.2	34.8	58.9
GL000008.2	1	209709	59	4648	2.2164	0.0343953	35.3	46
GL000009.2	1	201709	152	11642	5.77168	0.0929805	34.8	46
GL000194.1	1	191469	1249	25366	13.2481	0.804961	34.9	50
GL000195.1	1	182896	521	20433	11.1719	0.351478	35.2	48.5
GL000205.2	1	185591	456	17690	9.53171	0.301491	35.1	47.7
GL000208.1	1	92689	1	125	0.13486	0.0013486	30.1	60
GL000213.1	1	164239	5	251	0.152826	0.0037141	36.7	48.2
GL000214.1	1	137718	31	2460	1.78626	0.0275345	34.7	18.1
GL000216.2	1	176608	3	291	0.164772	0.00204974	32.7	60
GL000218.1	1	161147	934	20968	13.0117	0.711686	34.7	47.7
GL000219.1	1	179198	1456	32122	17.9254	1.00414	35.5	56.4
GL000220.1	1	161802	24798	29683	18.3453	18.863	33.7	1.35
GL000221.1	1	155397	300	15482	9.96287	0.237778	35.2	34.2
GL000224.1	1	179693	107	6283	3.49652	0.0730524	35.3	22.5
KI270330.1	1	1652	6	571	34.5642	0.437046	35	60
KI270438.1	1	112505	9	584	0.519088	0.00937736	33.3	60
KI270442.1	1	392061	17	1405	0.358363	0.0048921	34.8	35.5
KI270519.1	1	138126	1	119	0.0861532	0.000861532	29.9	60
KI270706.1	1	175055	71	5547	3.16872	0.0495044	34.8	40.8
KI270707.1	1	32032	18	1446	4.51424	0.0695867	35.8	46.9
KI270708.1	1	127682	7	374	0.292915	0.00682947	33.8	42.9
KI270709.1	1	66860	14	651	0.973676	0.0257254	35.5	9.07
KI270711.1	1	42210	879	12774	30.263	2.56657	35.1	21.6
KI270712.1	1	176043	168	6286	3.57072	0.118022	34.2	21
KI270713.1	1	40745	38	2556	6.27316	0.114517	35.2	41.3
KI270714.1	1	41717	12	1061	2.54333	0.0353333	34.2	40.2
KI270716.1	1	153799	1	123	0.0799745	0.000799745	33.7	1
KI270717.1	1	40062	48	3240	8.08746	0.147871	35.4	19.4
KI270718.1	1	38054	491	17628	46.3236	1.58761	35.2	11.2
KI270719.1	1	176845	68	4146	2.34443	0.047273	35.7	8.78
KI270720.1	1	39050	2	188	0.481434	0.00614597	29.2	60
