#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	3827879	21309513	8.55954	1.89601	34.7	57.9
chr2	1	242193529	2626100	16829122	6.94863	1.33466	34.7	58
chr3	1	198295559	1791056	15057536	7.59348	1.1145	35	59
chr4	1	190214555	941234	9388726	4.93586	0.607283	35.3	54.9
chr5	1	181538259	1455198	11480924	6.32424	0.98866	34.9	57.9
chr6	1	170805979	1711745	11874687	6.95215	1.23523	34.9	58.3
chr7	1	159345973	1388717	11761701	7.38124	1.0713	34.8	57.6
chr8	1	145138636	1001715	8358310	5.75885	0.851313	35	58.6
chr9	1	138394717	908730	8232827	5.9488	0.809461	34.8	57.7
chr10	1	133797422	986450	9378299	7.00933	0.909574	35	58.4
chr11	1	135086622	2347209	10105814	7.48099	2.14345	34.8	59.2
chr12	1	133275309	1951643	10776155	8.08563	1.79858	34.8	55.7
chr13	1	114364328	579638	4667956	4.08165	0.626233	35.2	58.6
chr14	1	107043718	1567146	7123155	6.65444	1.80118	34.5	51.8
chr15	1	101991189	1081460	7744681	7.59348	1.30796	35	58
chr16	1	90338345	869630	7257805	8.03402	1.18396	34.4	56.3
chr17	1	83257441	1772195	9986719	11.995	2.61897	34.4	59
chr18	1	80373285	380206	3815844	4.74765	0.584104	35.2	58.6
chr19	1	58617616	1390539	7826116	13.3511	2.91383	34	58.9
chr20	1	64444167	653813	4970178	7.71238	1.24852	34.7	58.5
chr21	1	46709983	409125	2675475	5.72784	1.07878	34.5	40.2
chr22	1	50818468	704058	3718367	7.31696	1.70035	34.2	53.8
chrX	1	156040895	749290	6389987	4.09507	0.591808	34.8	56.8
chrY	1	57227415	19721	452303	0.790361	0.0422182	34.4	26.5
chrM	1	16569	3408711	16569	100	25341.8	34.7	58.2
GL000008.2	1	209709	13	947	0.451578	0.00764393	35.7	23.7
GL000009.2	1	201709	12	1081	0.535921	0.00698035	34.7	25.5
GL000194.1	1	191469	994	21104	11.0221	0.639242	35	52.9
GL000195.1	1	182896	506	22234	12.1566	0.341369	35.2	38.6
GL000205.2	1	185591	426	18453	9.94283	0.280687	35.2	46.1
GL000208.1	1	92689	10	1003	1.08211	0.0129897	32.2	48.1
GL000213.1	1	164239	6	219	0.133342	0.00373845	28.9	50
GL000214.1	1	137718	29	2696	1.95762	0.025879	35.5	25.4
GL000216.2	1	176608	20	2025	1.14661	0.0139801	35	60
GL000218.1	1	161147	443	14475	8.98248	0.338269	35.1	44.9
GL000219.1	1	179198	543	20226	11.287	0.375222	35.3	52.1
GL000220.1	1	161802	43612	38287	23.6629	33.1574	33.8	1.39
GL000221.1	1	155397	91	6034	3.88296	0.0724338	35.2	34
GL000224.1	1	179693	27	2147	1.19482	0.0182867	36.3	35.8
GL000225.1	1	211173	25	1901	0.90021	0.014642	33.3	60
KI270310.1	1	1201	2	171	14.2381	0.203997	37.8	60
KI270330.1	1	1652	10	447	27.0581	0.743947	35.4	48.2
KI270363.1	1	1803	1	112	6.21187	0.0621187	30.7	1
KI270435.1	1	92983	4	421	0.452771	0.00514072	31.8	0.25
KI270438.1	1	112505	82	2992	2.65944	0.0892494	34.4	36.1
KI270442.1	1	392061	18	2132	0.543793	0.00558076	34.7	46.8
KI270512.1	1	22689	3	301	1.32663	0.0163956	32.6	60
KI270519.1	1	138126	6	541	0.391671	0.00529951	35	40.3
KI270521.1	1	7642	1	125	1.6357	0.016357	29	1
KI270538.1	1	91309	1	125	0.136898	0.00136898	37.7	1
KI270582.1	1	6504	3	246	3.78229	0.0564268	36.3	60
KI270589.1	1	44474	3	297	0.667806	0.00795971	33.3	40.3
KI270706.1	1	175055	91	7299	4.16955	0.064237	35.4	50.2
KI270707.1	1	32032	15	1341	4.18644	0.0580045	35.7	52
KI270708.1	1	127682	2	176	0.137842	0.00191883	30.4	1
KI270709.1	1	66860	1	125	0.186958	0.00186958	37	1
KI270711.1	1	42210	438	9148	21.6726	1.28197	35.3	26.7
KI270712.1	1	176043	78	3961	2.25002	0.0545549	33.9	14.6
KI270713.1	1	40745	48	3731	9.15695	0.145417	35.1	47.7
KI270714.1	1	41717	4	348	0.834192	0.00975621	35.2	30.2
KI270717.1	1	40062	12	1137	2.8381	0.0366931	36.4	35.4
KI270718.1	1	38054	56	4275	11.234	0.180349	35.1	19.8
KI270719.1	1	176845	15	1381	0.78091	0.0104442	34.6	20.7
KI270720.1	1	39050	4	278	0.711908	0.0127017	36.1	60
KI270721.1	1	100316	2155	3829	3.81694	2.6254	33.5	11.5
KI270722.1	1	194050	8	490	0.252512	0.00478743	35	52.5
KI270724.1	1	39555	2	207	0.523322	0.00614334	31.3	60
KI270725.1	1	172810	99	4503	2.60575	0.0704647	35.3	22.4
KI270726.1	1	43739	120	967	2.21084	0.330003	34.3	59
KI270727.1	1	448248	72	5302	1.18283	0.0197235	35.1	14.8
KI270728.1	1	1872759	128	5354	0.285888	0.0082301	33.8	16.6
KI270729.1	1	280839	8	747	0.265989	0.00331507	34.2	60
KI270731.1	1	150754	40	1884	1.24972	0.0328615	34.8	5.4
KI270733.1	1	179772	47331	37958	21.1145	32.3925	33.8	3.23
KI270734.1	1	165050	160	5110	3.09603	0.117692	34.2	16.1
KI270735.1	1	42811	13	809	1.8897	0.0378875	35.6	23.7
KI270737.1	1	103838	2	190	0.182977	0.0019646	34	60
KI270738.1	1	99375	8	640	0.644025	0.00982138	35.1	37.6
KI270739.1	1	73985	11	1009	1.36379	0.0179226	34.3	27.8
KI270741.1	1	157432	17	1099	0.698079	0.0134598	36	7.94
KI270742.1	1	186739	134	8833	4.73013	0.0882622	35	45
KI270743.1	1	210658	16	1339	0.635627	0.00928045	35	30.5
