#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	3998718	25838171	10.3786	1.97902	34.6	57.5
chr2	1	242193529	2218776	20974689	8.6603	1.12935	34.8	58.6
chr3	1	198295559	1439096	16384342	8.26259	0.895482	34.9	59.1
chr4	1	190214555	920045	10826946	5.69197	0.594028	35.2	58.6
chr5	1	181538259	1463212	13916100	7.66566	0.994475	34.8	57.7
chr6	1	170805979	1980651	15134861	8.86085	1.43024	34.8	58.1
chr7	1	159345973	1424734	13985745	8.77697	1.10028	34.7	57
chr8	1	145138636	1376827	10582940	7.29161	1.17037	34.8	58.1
chr9	1	138394717	1158068	11069691	7.99864	1.03204	34.7	57.3
chr10	1	133797422	1093980	12181575	9.10449	1.00888	34.9	57.9
chr11	1	135086622	2545925	12165876	9.00598	2.32653	34.7	58.2
chr12	1	133275309	3328585	13735946	10.3064	3.07285	34.6	53.6
chr13	1	114364328	550473	5218494	4.56304	0.594997	35.1	58.4
chr14	1	107043718	1147629	8938585	8.35041	1.32179	34.7	58.7
chr15	1	101991189	1060162	9564522	9.37779	1.28206	34.9	58.3
chr16	1	90338345	908176	9300647	10.2953	1.23594	34.3	56.4
chr17	1	83257441	2822831	13151107	15.7957	4.17295	34.2	58.2
chr18	1	80373285	559354	5289067	6.58063	0.86007	35.1	59.1
chr19	1	58617616	1442499	9737495	16.6119	3.02003	33.9	58.8
chr20	1	64444167	749409	6287165	9.75599	1.43157	34.5	58.6
chr21	1	46709983	415676	3289243	7.04184	1.09689	34.6	50
chr22	1	50818468	640679	5721998	11.2597	1.54945	34.2	58.4
chrX	1	156040895	842539	7787972	4.99098	0.665575	34.7	56.8
chrY	1	57227415	49164	932107	1.62878	0.105647	34.5	37
chrM	1	16569	2934332	16569	100	21861.2	34.7	58.8
GL000008.2	1	209709	48	3726	1.77675	0.0280675	34.7	18.1
GL000009.2	1	201709	59	4970	2.46395	0.0357743	35.2	25
GL000194.1	1	191469	1313	26317	13.7448	0.844638	35	52.4
GL000195.1	1	182896	597	23252	12.7132	0.402972	34.9	41.6
GL000205.2	1	185591	332	16322	8.79461	0.219165	34.8	40.3
GL000213.1	1	164239	6	528	0.321483	0.00448736	35.8	1
GL000214.1	1	137718	34	2870	2.08397	0.030577	35.6	16.4
GL000216.2	1	176608	227	15707	8.89371	0.157773	34.4	57.6
GL000218.1	1	161147	805	21201	13.1563	0.613527	34.8	47.2
GL000219.1	1	179198	1232	27625	15.4159	0.849368	35.4	55.6
GL000220.1	1	161802	19225	32323	19.9769	14.5983	33.7	1.46
GL000221.1	1	155397	413	19178	12.3413	0.328134	35.2	34.3
GL000224.1	1	179693	137	6016	3.34793	0.0941829	35.6	38.4
GL000225.1	1	211173	29	2694	1.27573	0.0169387	34.4	55.9
KI270330.1	1	1652	9	476	28.8136	0.642857	35.4	53.3
KI270337.1	1	1121	1	125	11.1508	0.111508	37.5	60
KI270435.1	1	92983	2	164	0.176376	0.0024198	37.1	60
KI270438.1	1	112505	28	1895	1.68437	0.0305675	34.5	47.2
KI270442.1	1	392061	35	3095	0.789418	0.010932	34.9	41.2
KI270589.1	1	44474	4	276	0.620587	0.0111076	32.8	30.5
KI270706.1	1	175055	65	5300	3.02762	0.0454543	35.3	23.7
KI270707.1	1	32032	14	1115	3.48089	0.054508	35.6	43.1
KI270709.1	1	66860	1	62	0.0927311	0.000927311	30.2	0
KI270711.1	1	42210	554	12750	30.2061	1.62033	34.9	24.5
KI270712.1	1	176043	55	2676	1.52008	0.0383827	33.6	25.6
KI270713.1	1	40745	88	2288	5.61541	0.26683	35.6	57.3
KI270714.1	1	41717	24	2103	5.04111	0.0708584	34.3	25.6
KI270716.1	1	153799	1	125	0.0812749	0.000812749	34.9	0
KI270717.1	1	40062	50	2974	7.42349	0.155135	35.7	3.36
KI270718.1	1	38054	229	9831	25.8343	0.740632	34.9	9.45
KI270719.1	1	176845	64	3332	1.88414	0.0441517	35.2	6.22
KI270720.1	1	39050	3	371	0.950064	0.00950064	30.6	60
KI270721.1	1	100316	25903	8430	8.40345	31.6584	33.4	1.64
KI270723.1	1	38115	4	187	0.49062	0.013092	37	1
KI270725.1	1	172810	43	2936	1.69898	0.0305191	35.6	20.2
KI270726.1	1	43739	23	665	1.52038	0.0634902	33.5	60
KI270727.1	1	448248	250	17523	3.90922	0.0685424	35.2	12.3
KI270728.1	1	1872759	242	13194	0.704522	0.0159364	34.6	26.6
KI270729.1	1	280839	2	167	0.0594647	0.000883068	30.4	60
KI270730.1	1	112551	1	124	0.110172	0.00110172	27.3	60
KI270731.1	1	150754	142	1991	1.32069	0.11668	34.9	1.83
KI270732.1	1	41543	4	441	1.06155	0.0120117	34.8	60
KI270733.1	1	179772	20458	35917	19.9792	13.9773	33.7	2.74
KI270734.1	1	165050	868	11033	6.68464	0.646859	33.8	32
KI270735.1	1	42811	2	228	0.532573	0.00581626	30.8	60
KI270737.1	1	103838	2	118	0.113639	0.00227277	37.5	0
KI270738.1	1	99375	5	427	0.429686	0.00618868	35.1	60
KI270739.1	1	73985	7	493	0.666351	0.0115564	33.6	34.7
KI270741.1	1	157432	63	3967	2.51982	0.0495071	34.9	8.46
KI270742.1	1	186739	406	23210	12.4291	0.268144	35.1	34.7
KI270743.1	1	210658	23	1827	0.867283	0.0134958	34.2	18.7
KI270744.1	1	168472	466	16815	9.98089	0.340425	34.6	44
KI270745.1	1	41891	307	11353	27.1013	0.886897	33.7	26.9
KI270746.1	1	66486	8	754	1.13407	0.0146497	32.8	45.2
KI270747.1	1	198735	2	192	0.0966111	0.0012328	37.4	60
KI270748.1	1	93321	24	2203	2.36067	0.0319757	35.5	0.958
KI270749.1	1	158759	18	1422	0.895697	0.0137567	35.2	14.1
KI270750.1	1	148850	97	5716	3.84011	0.0805106	35.2	45.4
KI270751.1	1	150742	17	1610	1.06805	0.0135729	33.5	14.6
KI270754.1	1	40191	12	942	2.34381	0.0369735	34.9	20.7
KI270755.1	1	36723	2	192	0.522833	0.00680772	36.9	60
GL000208.1	1	92689	0	0	0	0	0	0
GL000226.1	1	15008	0	0	0	0	0	0
KI270302.1	1	2274	0	0	0	0	0	0
KI270303.1	1	1942	0	0	0	0	0	0
KI270304.1	1	2165	0	0	0	0	0	0
KI270305.1	1	1472	0	0	0	0	0	0
KI270310.1	1	1201	0	0	0	0	0	0
KI270311.1	1	12399	0	0	0	0	0	0
KI270312.1	1	998	0	0	0	0	0	0
KI270315.1	1	2276	0	0	0	0	0	0
KI270316.1	1	1444	0	0	0	0	0	0
KI270317.1	1	37690	0	0	0	0	0	0
KI270320.1	1	4416	0	0	0	0	0	0
KI270322.1	1	21476	0	0	0	0	0	0
KI270329.1	1	1040	0	0	0	0	0	0
KI270333.1	1	2699	0	0	0	0	0	0
KI270334.1	1	1368	0	0	0	0	0	0
KI270335.1	1	1048	0	0	0	0	0	0
KI270336.1	1	1026	0	0	0	0	0	0
KI270338.1	1	1428	0	0	0	0	0	0
KI270340.1	1	1428	0	0	0	0	0	0
KI270362.1	1	3530	0	0	0	0	0	0
KI270363.1	1	1803	0	0	0	0	0	0
KI270364.1	1	2855	0	0	0	0	0	0
KI270366.1	1	8320	0	0	0	0	0	0
KI270371.1	1	2805	0	0	0	0	0	0
KI270372.1	1	1650	0	0	0	0	0	0
KI270373.1	1	1451	0	0	0	0	0	0
KI270374.1	1	2656	0	0	0	0	0	0
KI270375.1	1	2378	0	0	0	0	0	0
KI270376.1	1	1136	0	0	0	0	0	0
KI270378.1	1	1048	0	0	0	0	0	0
KI270379.1	1	1045	0	0	0	0	0	0
KI270381.1	1	1930	0	0	0	0	0	0
KI270382.1	1	4215	0	0	0	0	0	0
KI270383.1	1	1750	0	0	0	0	0	0
KI270384.1	1	1658	0	0	0	0	0	0
KI270385.1	1	990	0	0	0	0	0	0
KI270386.1	1	1788	0	0	0	0	0	0
KI270387.1	1	1537	0	0	0	0	0	0
KI270388.1	1	1216	0	0	0	0	0	0
KI270389.1	1	1298	0	0	0	0	0	0
KI270390.1	1	2387	0	0	0	0	0	0
KI270391.1	1	1484	0	0	0	0	0	0
KI270392.1	1	971	0	0	0	0	0	0
KI270393.1	1	1308	0	0	0	0	0	0
KI270394.1	1	970	0	0	0	0	0	0
KI270395.1	1	1143	0	0	0	0	0	0
KI270396.1	1	1880	0	0	0	0	0	0
KI270411.1	1	2646	0	0	0	0	0	0
KI270412.1	1	1179	0	0	0	0	0	0
KI270414.1	1	2489	0	0	0	0	0	0
KI270417.1	1	2043	0	0	0	0	0	0
KI270418.1	1	2145	0	0	0	0	0	0
KI270419.1	1	1029	0	0	0	0	0	0
KI270420.1	1	2321	0	0	0	0	0	0
KI270422.1	1	1445	0	0	0	0	0	0
KI270423.1	1	981	0	0	0	0	0	0
KI270424.1	1	2140	0	0	0	0	0	0
KI270425.1	1	1884	0	0	0	0	0	0
KI270429.1	1	1361	0	0	0	0	0	0
KI270448.1	1	7992	0	0	0	0	0	0
KI270465.1	1	1774	0	0	0	0	0	0
KI270466.1	1	1233	0	0	0	0	0	0
KI270467.1	1	3920	0	0	0	0	0	0
KI270468.1	1	4055	0	0	0	0	0	0
KI270507.1	1	5353	0	0	0	0	0	0
KI270508.1	1	1951	0	0	0	0	0	0
KI270509.1	1	2318	0	0	0	0	0	0
KI270510.1	1	2415	0	0	0	0	0	0
KI270511.1	1	8127	0	0	0	0	0	0
KI270512.1	1	22689	0	0	0	0	0	0
KI270515.1	1	6361	0	0	0	0	0	0
KI270516.1	1	1300	0	0	0	0	0	0
KI270517.1	1	3253	0	0	0	0	0	0
KI270518.1	1	2186	0	0	0	0	0	0
KI270519.1	1	138126	0	0	0	0	0	0
KI270521.1	1	7642	0	0	0	0	0	0
KI270522.1	1	5674	0	0	0	0	0	0
KI270528.1	1	2983	0	0	0	0	0	0
KI270529.1	1	1899	0	0	0	0	0	0
KI270530.1	1	2168	0	0	0	0	0	0
KI270538.1	1	91309	0	0	0	0	0	0
KI270539.1	1	993	0	0	0	0	0	0
KI270544.1	1	1202	0	0	0	0	0	0
KI270548.1	1	1599	0	0	0	0	0	0
KI270579.1	1	31033	0	0	0	0	0	0
KI270580.1	1	1553	0	0	0	0	0	0
KI270581.1	1	7046	0	0	0	0	0	0
KI270582.1	1	6504	0	0	0	0	0	0
KI270583.1	1	1400	0	0	0	0	0	0
KI270584.1	1	4513	0	0	0	0	0	0
KI270587.1	1	2969	0	0	0	0	0	0
KI270588.1	1	6158	0	0	0	0	0	0
KI270590.1	1	4685	0	0	0	0	0	0
KI270591.1	1	5796	0	0	0	0	0	0
KI270593.1	1	3041	0	0	0	0	0	0
KI270708.1	1	127682	0	0	0	0	0	0
KI270710.1	1	40176	0	0	0	0	0	0
KI270715.1	1	161471	0	0	0	0	0	0
KI270722.1	1	194050	0	0	0	0	0	0
KI270724.1	1	39555	0	0	0	0	0	0
KI270736.1	1	181920	0	0	0	0	0	0
KI270740.1	1	37240	0	0	0	0	0	0
KI270752.1	1	27745	0	0	0	0	0	0
KI270753.1	1	62944	0	0	0	0	0	0
KI270756.1	1	79590	0	0	0	0	0	0
KI270757.1	1	71251	0	0	0	0	0	0
